session_id,variant,converted,ended_by,time_to_decision,scroll_depth,num_clicks,mouse_activity_count,avg_hover_y,variant_encoded
130449ce-cf9d-49b1-8b7f-47fe846f4259,A,1,click,12.891,1.0,1,46,0.6362828225113826,0
153ddf95-aadd-4ae3-95f2-099151d26f43,B,0,click,63.121,1.0,3,266,0.46249883969182215,1
1bf65c71-9eab-4d5a-8984-2d54093ff303,A,1,click,20.472,1.0,4,4069,0.6520658677818816,0
2359fc31-d19b-4afa-bd4e-24d70eb7e71f,A,1,click,25.611,1.0,1,103,0.665397942262875,0
26835afe-6f4f-4257-91e7-ab60cff9d947,B,1,click,17.746,1.0,7,170,0.4060001093229008,1
2f0be930-eb12-459d-9a83-7f792e33882b,A,1,click,16.221,1.0,1,54,0.771539704498506,0
3117f75f-62a2-485b-b7b0-8167d22d6b09,A,1,click,67.606,1.0,2,331,0.3704362092788456,0
32a8088c-65a8-40bf-ba34-d8043f688196,B,1,click,32.78,1.0,1,189,0.45661486816949,1
34c4cb04-b3a9-4460-a2ca-e24e1c430399,B,0,click,29.427,1.0,3,143,0.5120464982942226,1
394aaeba-4e0c-4fb1-9eff-10fd16f1a75c,A,0,click,133.862,1.0,1,9670,0.299766083167645,0
3f813a6a-902b-41c1-82d4-498f5619fba9,B,1,click,19.171,1.0,1,95,0.6179413317063894,1
4090e8a8-0800-467a-96b4-9a475fbce308,B,1,click,9.976,1.0,1,267,0.15964049214398124,1
484cfab2-da93-4ee2-98ab-be30f77c41aa,B,1,click,48.76,1.0,1,188,0.39949713611953047,1
5b536214-c625-4043-9061-2cb33e4ce5c3,A,1,click,27.367,1.0,13,135,0.38629264845160044,0
6280a177-d124-4876-a7f5-38b3a4d68cbf,A,1,click,7.948,1.0,1,45,0.4102606262953597,0
6fef86b1-4bfd-44b4-bf58-955a1152d746,A,0,click,5.686,1.0,1,27,0.6021187089229904,0
72123a4d-5e5c-47f1-801e-831aafef1ae6,B,1,click,77.817,1.0,3,101,0.6724981855900577,1
7609c50b-71f8-4aad-a4f1-0f616505c7b5,B,0,click,24.755,1.0,2,150,0.37376877405167674,1
7cfc5697-f8c3-43d5-914e-760bed1ffa3b,B,0,click,41.981,1.0,3,417,0.3758961535440377,1
8996d3e6-60b4-46bc-9ed1-3a29d4349e9e,A,1,click,93.445,1.0,1,513,0.5179781112025517,0
951e880a-3693-43af-bfa2-b60302fa2f2d,A,0,click,9.212,1.0,1,48,0.7227893178324213,0
a07cf62d-576e-4f35-b7e4-7adac35019bd,B,1,click,20.855,1.0,1,61,0.8004221119202987,1
a0f0947b-839f-4dfb-a84c-e7b4563837e8,B,1,click,69.959,1.0,1,770,0.8745369417783211,1
a704a836-1fe0-4766-bebf-99120a3be04c,A,1,click,8.728,1.0,1,47,0.469915037353444,0
a76992ec-8439-4bb7-b94e-8986dc4805ab,B,1,click,21.47,1.0,1,107,0.6570076627096475,1
ad2d4b12-cb43-423e-9f02-2cc65320701b,A,1,click,12.876,1.0,7,87,0.4664296613227211,0
b1fe06f5-076f-4c6a-88d0-199259e093ea,B,1,click,14.446,1.0,1,436,0.21975146301266893,1
b7e72150-75c3-492f-8749-55b69c551bd0,A,0,click,67.771,1.0,33,344,0.5422984532246762,0
bebc0530-94f4-4f1a-b5c9-fbbedba31b9a,A,1,click,15.658,0.0,1,90,0.7207136612104156,0
d2bb31b3-8ea1-4531-ab1b-3d00adaac4b3,B,1,click,8.271,1.0,21,196,0.4785206302634906,1
de879ce5-8a04-4867-b38a-645d265a4ade,A,1,click,30.208,1.0,1,157,0.5883221288962707,0
ef5b12b1-2025-476a-ac3c-ee2fd7ac9866,A,1,click,18.387,1.0,1,288,0.4628532536583862,0
effab6f2-87cd-4dd3-8486-580799de2ad5,B,1,click,34.27,1.0,1,175,0.6557758621132675,1
f13820c4-8049-47a8-8dc2-7b49ca90a0cc,B,1,click,40.837,1.0,1,208,0.42134683048288746,1
fcc88c3c-487d-4c2c-96bf-76447f468083,A,0,click,40.1,1.0,4,234,0.3633227654185738,0
